mach,Cya
0.20083357684440412,0.09120068900816658
0.2585318589378816,0.09113855523600065
0.31494850381671563,0.09107211516279354
0.3732876045175149,0.09101213454114823
0.4297042493963489,0.09094569446794111
0.4867248017307229,0.0912652835237846
0.5431045354577752,0.0915827194291075
0.6007659063994709,0.0919044616354716
0.6570718178229598,0.09298964949785452
0.7145240255712257,0.0954866889158887
0.7723094589952989,0.10118484797219357
0.8284195362523903,0.11097337783177741
0.8475333610166972,0.11218960028298547
0.8870539261674433,0.10784238938189197
0.9262904805114245,0.09978222420448776
0.9440601241650134,0.09497793020716382
